Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",1543.27,1569.03,1414.35,1418.73,"820,947,000","26,199,800,000"
"Feb 19, 2018",1483.34,1553.81,1483.34,1534.77,"578,906,000","25,179,700,000"
"Feb 18, 2018",1552.10,1641.40,1428.49,1487.46,"907,873,000","26,344,200,000"
"Feb 17, 2018",1548.48,1568.64,1517.14,1551.39,"641,719,000","26,280,100,000"
"Feb 16, 2018",1373.16,1558.66,1369.68,1552.20,"961,010,000","23,302,000,000"
"Feb 15, 2018",1358.65,1400.71,1330.18,1375.81,"502,454,000","23,053,300,000"
"Feb 14, 2018",1229.18,1384.06,1229.18,1362.27,"629,852,000","20,854,300,000"
"Feb 13, 2018",1285.23,1289.42,1205.73,1231.98,"442,663,000","21,803,000,000"
"Feb 12, 2018",1222.43,1302.66,1222.43,1283.91,"466,213,000","20,735,400,000"
"Feb 11, 2018",1255.59,1306.20,1197.87,1217.64,"651,555,000","21,295,600,000"
"Feb 10, 2018",1311.99,1394.81,1215.72,1257.31,"734,606,000","22,249,700,000"
"Feb 09, 2018",1273.87,1342.41,1206.39,1312.11,"1,133,760,000","21,601,200,000"
"Feb 08, 2018",951.57,1345.20,951.57,1284.56,"2,203,710,000","16,133,900,000"
"Feb 07, 2018",971.08,1040.49,902.49,957.96,"866,222,000","16,462,900,000"
"Feb 06, 2018",890.97,978.91,764.02,974.52,"777,420,000","15,103,100,000"
"Feb 05, 2018",1159.89,1172.70,839.95,887.41,"568,117,000","19,659,800,000"
"Feb 04, 2018",1273.17,1286.98,1101.31,1165.38,"656,034,000","21,577,500,000"
"Feb 03, 2018",1194.23,1314.43,1072.83,1272.50,"453,101,000","20,237,400,000"
"Feb 02, 2018",1272.50,1272.50,980.78,1191.14,"896,666,000","21,561,700,000"
"Feb 01, 2018",1491.12,1503.30,1214.88,1274.35,"678,020,000","25,263,200,000"
"Jan 31, 2018",1470.74,1522.87,1406.25,1486.89,"729,209,000","24,915,700,000"
"Jan 30, 2018",1657.69,1662.07,1468.17,1470.55,"649,823,000","28,079,700,000"
"Jan 29, 2018",1745.36,1763.24,1638.33,1657.14,"362,213,000","29,561,500,000"
"Jan 28, 2018",1636.41,1762.34,1636.41,1746.25,"580,544,000","27,713,300,000"
"Jan 27, 2018",1602.50,1665.81,1567.78,1628.63,"441,742,000","27,136,100,000"
"Jan 26, 2018",1637.19,1678.63,1500.37,1603.90,"594,667,000","27,720,500,000"
"Jan 25, 2018",1661.04,1707.70,1611.04,1642.12,"522,194,000","28,121,300,000"
"Jan 24, 2018",1622.15,1703.34,1575.42,1639.13,"488,161,000","27,460,200,000"
"Jan 23, 2018",1623.14,1700.34,1504.72,1621.46,"578,984,000","27,473,700,000"
"Jan 22, 2018",1794.46,1815.42,1525.50,1621.92,"681,350,000","30,370,200,000"
"Jan 21, 2018",2033.70,2033.70,1733.99,1776.64,"745,179,000","34,415,500,000"
"Jan 20, 2018",1784.26,2124.45,1780.45,2032.12,"1,116,240,000","30,191,500,000"
"Jan 19, 2018",1740.17,1870.78,1723.87,1769.62,"743,247,000","29,442,200,000"
"Jan 18, 2018",1752.27,1893.47,1696.25,1756.75,"1,024,060,000","29,643,600,000"
"Jan 17, 2018",1767.58,1875.08,1361.02,1748.05,"1,457,730,000","29,899,500,000"
"Jan 16, 2018",2406.86,2406.86,1555.97,1772.07,"1,704,030,000","40,708,800,000"
"Jan 15, 2018",2541.58,2576.13,2328.31,2401.54,"1,412,360,000","42,983,500,000"
"Jan 14, 2018",2687.10,2746.61,2490.04,2553.32,"993,310,000","45,439,500,000"
"Jan 13, 2018",2617.66,2850.27,2589.03,2685.29,"1,218,570,000","44,260,300,000"
"Jan 12, 2018",2475.90,2648.23,2413.33,2620.99,"1,110,220,000","41,859,100,000"
"Jan 11, 2018",2891.55,2976.49,2396.84,2462.61,"1,947,950,000","48,880,800,000"
"Jan 10, 2018",2390.02,2961.20,2332.48,2895.38,"2,578,810,000","40,398,000,000"
"Jan 09, 2018",2412.36,2502.87,2346.68,2391.56,"1,084,750,000","40,770,900,000"
"Jan 08, 2018",2786.60,2810.32,2275.07,2421.47,"1,428,900,000","47,091,600,000"
"Jan 07, 2018",2784.68,3071.16,2730.31,2786.88,"1,444,780,000","47,054,000,000"
"Jan 06, 2018",2583.71,2829.69,2481.36,2786.65,"1,669,160,000","43,653,200,000"
"Jan 05, 2018",2400.74,2648.32,2370.59,2584.48,"2,115,710,000","40,557,600,000"
"Jan 04, 2018",2608.87,2610.20,2359.30,2430.18,"5,377,260,000","44,069,100,000"
"Jan 03, 2018",2700.55,2958.47,2592.56,2608.69,"4,688,840,000","45,613,300,000"
"Jan 02, 2018",2434.50,2867.14,2434.50,2711.00,"1,831,230,000","41,114,800,000"
"Jan 01, 2018",2534.82,2534.86,2389.52,2432.54,"922,813,000","42,804,800,000"
"Dec 31, 2017",2376.96,2627.95,2350.03,2533.01,"1,300,820,000","40,134,900,000"
"Dec 30, 2017",2791.55,2791.55,2329.47,2392.41,"1,257,760,000","47,129,800,000"
"Dec 29, 2017",2587.30,2922.41,2389.04,2779.95,"2,479,420,000","43,677,000,000"
"Dec 28, 2017",2888.64,2896.78,2481.30,2566.64,"3,221,300,000","48,758,700,000"
"Dec 27, 2017",3108.32,3108.32,2771.05,2889.52,"1,406,450,000","52,461,200,000"
"Dec 26, 2017",2947.74,3112.64,2915.80,3108.89,"1,544,430,000","49,745,700,000"
"Dec 25, 2017",2929.35,3099.62,2755.60,2954.69,"1,355,440,000","49,430,800,000"
"Dec 24, 2017",3260.55,3260.55,2573.44,2903.12,"1,712,160,000","55,013,200,000"
"Dec 23, 2017",2746.95,3479.71,2684.82,3257.08,"2,843,310,000","46,342,000,000"
"Dec 22, 2017",3324.00,3369.55,1938.36,2696.69,"3,877,770,000","56,071,800,000"
"Dec 21, 2017",3909.00,3909.00,3038.01,3267.17,"3,664,330,000","65,933,700,000"
"Dec 20, 2017",2825.03,4355.62,2825.03,3923.07,"11,889,600,000","47,644,600,000"
"Dec 19, 2017",2199.06,2918.93,2160.92,2805.89,"3,913,340,000","37,083,300,000"
"Dec 18, 2017",1869.21,2353.64,1799.12,2196.64,"2,538,650,000","31,516,900,000"
"Dec 17, 2017",1812.33,1939.93,1806.65,1862.88,"1,020,590,000","30,554,500,000"
"Dec 16, 2017",1824.85,1890.06,1769.50,1801.88,"971,255,000","30,762,600,000"
"Dec 15, 2017",1974.66,1974.66,1678.06,1815.43,"1,457,230,000","33,284,800,000"
"Dec 14, 2017",1600.67,2080.41,1593.15,1966.14,"2,717,410,000","26,977,700,000"
"Dec 13, 2017",1616.99,1702.53,1497.94,1607.65,"1,245,190,000","27,249,600,000"
"Dec 12, 2017",1427.38,1638.29,1427.38,1615.03,"1,386,250,000","24,051,800,000"
"Dec 11, 2017",1320.00,1453.49,1316.85,1423.38,"922,792,000","22,239,900,000"
"Dec 10, 2017",1411.84,1411.84,1226.21,1323.07,"885,886,000","23,784,900,000"
"Dec 09, 2017",1464.63,1526.40,1353.90,1410.06,"1,059,610,000","24,671,600,000"
"Dec 08, 2017",1329.16,1731.32,1247.93,1464.13,"2,553,980,000","22,386,700,000"
"Dec 07, 2017",1430.71,1454.73,1323.75,1330.93,"1,285,210,000","24,095,900,000"
"Dec 06, 2017",1498.49,1530.65,1396.16,1430.10,"1,154,620,000","25,234,400,000"
"Dec 05, 2017",1580.16,1623.16,1498.00,1501.85,"1,032,800,000","26,606,900,000"
"Dec 04, 2017",1560.16,1580.11,1498.98,1576.92,"780,634,000","26,267,300,000"
"Dec 03, 2017",1435.36,1649.30,1420.60,1559.93,"1,476,740,000","24,163,600,000"
"Dec 02, 2017",1462.06,1502.37,1415.49,1434.98,"574,510,000","24,610,500,000"
"Dec 01, 2017",1381.81,1482.68,1300.46,1462.68,"965,151,000","23,257,100,000"
"Nov 30, 2017",1380.36,1468.75,1222.10,1389.78,"1,211,730,000","23,230,400,000"
"Nov 29, 2017",1541.63,1673.23,1332.14,1359.71,"2,345,250,000","25,941,800,000"
"Nov 28, 2017",1621.17,1629.48,1543.08,1546.18,"1,274,880,000","27,277,200,000"
"Nov 27, 2017",1722.93,1742.40,1607.79,1622.57,"1,391,460,000","28,986,800,000"
"Nov 26, 2017",1571.39,1758.61,1563.35,1735.66,"1,593,050,000","26,434,500,000"
"Nov 25, 2017",1634.00,1656.55,1535.77,1571.27,"1,560,040,000","27,484,900,000"
"Nov 24, 2017",1651.86,1782.83,1575.76,1648.51,"3,128,960,000","27,782,400,000"
