Date,Open,High,Low,Close,Volume,Market Cap
28-09-2019,0.007737,0.007827,0.007525,0.007706,3780906,94908269
27-09-2019,0.007453,0.007752,0.007311,0.007735,4677649,95238419
26-09-2019,0.007094,0.00769,0.006994,0.007453,3986473,91741098
25-09-2019,0.006518,0.007392,0.006518,0.007091,4307104,87264231
24-09-2019,0.00758,0.007739,0.006427,0.006517,3618222,80176888
23-09-2019,0.007831,0.007866,0.007578,0.007587,3053742,93313154
22-09-2019,0.008106,0.008203,0.007651,0.007814,3422530,96073666
21-09-2019,0.008131,0.008312,0.007956,0.008111,3796227,99688381
20-09-2019,0.008288,0.008317,0.008018,0.008132,3601904,99920336
19-09-2019,0.008299,0.008432,0.007798,0.008295,3466853,101884165
18-09-2019,0.007886,0.008446,0.007879,0.008303,3403995,101954250
17-09-2019,0.007721,0.007953,0.007436,0.007889,3120221,96841011
16-09-2019,0.007905,0.007991,0.007629,0.007717,2797300,94703441
15-09-2019,0.008011,0.008135,0.007844,0.007902,2674549,96945677
14-09-2019,0.007887,0.008399,0.007791,0.008013,2879142,98276483
13-09-2019,0.00809,0.008204,0.007646,0.007915,2901232,97040012
12-09-2019,0.008019,0.008218,0.007792,0.008092,2989191,99184196
11-09-2019,0.008043,0.00818,0.007801,0.008059,1465292,98749423
10-09-2019,0.008194,0.008459,0.007886,0.00803,2872515,98358109
09-09-2019,0.008485,0.008586,0.007969,0.008217,2779113,100626600
08-09-2019,0.007969,0.008587,0.007915,0.008465,3267980,103627323
07-09-2019,0.007985,0.008233,0.00775,0.007982,2730257,97681536
06-09-2019,0.007991,0.008369,0.007751,0.007978,2712702,97603921
05-09-2019,0.008579,0.008773,0.00799,0.007998,3047677,97815701
04-09-2019,0.008664,0.008764,0.00826,0.008578,2680713,104884242
03-09-2019,0.008668,0.008901,0.008528,0.00865,3163655,105734849
02-09-2019,0.008329,0.008789,0.008276,0.008675,2535499,105998012
01-09-2019,0.007992,0.008369,0.007983,0.008329,2343286,101740806
31-08-2019,0.008089,0.008346,0.007945,0.007993,2247544,97607365
30-08-2019,0.008019,0.008243,0.007886,0.008097,2736423,98845910
29-08-2019,0.008176,0.00833,0.007737,0.008018,2792850,97853662
28-08-2019,0.008738,0.008883,0.008129,0.008245,2730979,100593381
27-08-2019,0.009256,0.009256,0.008442,0.008734,2324171,106532790
26-08-2019,0.008969,0.009419,0.008462,0.008642,2165637,105371516
25-08-2019,0.009136,0.00941,0.008768,0.008996,1519918,109655824
24-08-2019,0.009522,0.009592,0.008774,0.009133,1597768,111294820
23-08-2019,0.008997,0.009565,0.008824,0.009496,1471816,115677909
22-08-2019,0.008849,0.00924,0.008176,0.008997,1857368,109567665
21-08-2019,0.009203,0.009302,0.008606,0.008845,1645830,107685814
20-08-2019,0.009442,0.009619,0.008909,0.009204,1425352,112015667
19-08-2019,0.009038,0.009695,0.008985,0.009649,1195595,117400333
18-08-2019,0.00902,0.009305,0.008897,0.009031,860441,109846533
17-08-2019,0.00923,0.009797,0.008858,0.009008,1114393,109527007
16-08-2019,0.009249,0.009906,0.008691,0.009212,1192572,111974215
15-08-2019,0.009091,0.009507,0.008531,0.009244,1578871,112330046
14-08-2019,0.009417,0.010021,0.008939,0.009097,1338329,110510648
13-08-2019,0.009612,0.009748,0.009252,0.009437,1129705,114601274
12-08-2019,0.01019,0.010823,0.009553,0.009641,1113794,117042650
11-08-2019,0.009414,0.010882,0.009217,0.010133,1424435,122973222
