Date,Open,High,Low,Close,Volume,Market Cap
28-09-2019,71.95,72.36,70.92,71.85,212554942,651170189
27-09-2019,69.23,72.2,67.85,71.97,242836100,652131225
26-09-2019,73.12,73.63,67.15,69.19,209364896,626812674
25-09-2019,72.72,76.17,70.01,73.09,281828717,662008601
24-09-2019,87.4,88.5,70.88,72.9,261957987,660151235
23-09-2019,91.73,91.76,87.39,87.39,230898224,791261135
22-09-2019,93.44,94.18,91.41,91.76,213969220,830609846
21-09-2019,96.98,97.03,93.52,93.71,204689152,848112966
20-09-2019,100.55,100.55,96.01,97.0,247488316,877732900
19-09-2019,98.07,104.28,91.37,100.48,371945615,909045731
18-09-2019,94.86,98.16,94.59,98.08,299130439,887194385
17-09-2019,92.7,97.04,91.22,94.94,263625773,858659761
16-09-2019,89.19,93.48,88.58,92.73,236260884,838506407
15-09-2019,91.57,91.68,89.19,89.19,218503109,806313555
14-09-2019,93.28,94.6,90.74,91.52,253643873,827271734
13-09-2019,85.28,94.27,85.11,93.27,235816614,842847025
12-09-2019,82.8,90.79,81.99,85.29,238978713,770648577
11-09-2019,83.85,85.34,82.34,82.8,173750574,747991225
10-09-2019,87.11,87.78,82.98,83.83,164513699,757159326
09-09-2019,87.8,89.02,85.93,87.13,184918831,786844141
08-09-2019,84.28,87.86,84.13,87.75,170509823,792223214
07-09-2019,80.37,84.45,80.29,84.25,186581412,760557889
06-09-2019,80.58,83.13,78.57,80.35,212197139,725219112
05-09-2019,81.23,82.11,80.4,80.57,180982478,726989061
04-09-2019,82.94,82.98,80.43,81.21,181916602,732705323
03-09-2019,81.64,83.96,80.36,82.95,192725799,748237440
02-09-2019,79.98,83.23,79.93,81.61,195249831,735948934
01-09-2019,80.21,81.04,78.8,80.07,149634077,721956273
31-08-2019,80.55,81.01,78.79,80.19,206431548,722882315
30-08-2019,80.25,82.07,79.47,80.58,157841920,725837019
29-08-2019,84.94,84.97,78.99,80.25,157127218,722744004
28-08-2019,90.73,91.14,84.76,84.96,160998762,764997750
27-08-2019,92.35,92.74,90.2,90.7,125590276,816566032
26-08-2019,91.4,93.58,91.19,92.78,153344606,835128601
25-08-2019,92.35,92.99,90.9,91.43,148936751,822765308
24-08-2019,93.71,93.96,90.34,92.38,145816130,831218616
23-08-2019,91.25,95.23,90.32,93.73,225009605,843219319
22-08-2019,89.86,92.4,87.97,91.24,245507277,820594475
21-08-2019,93.96,93.96,87.28,90.23,175275582,811348926
20-08-2019,98.13,98.19,93.35,93.94,152098244,844604955
19-08-2019,95.13,98.11,94.27,98.11,138241467,881946323
18-08-2019,92.75,96.63,91.76,95.11,130360202,854767039
17-08-2019,94.23,94.4,91.31,92.74,126384743,833294378
16-08-2019,95.22,95.54,92.07,94.24,153973787,846627669
15-08-2019,95.62,96.92,92.35,95.18,203677926,854959202
14-08-2019,101.44,102.31,95.52,95.52,193825014,857808290
13-08-2019,104.51,106.73,101.08,101.44,203406782,910823491
12-08-2019,106.91,106.91,102.83,104.96,164675849,942219501
11-08-2019,99.43,108.71,99.29,106.92,224599771,959670387
10-08-2019,103.53,104.51,98.0,99.41,209200269,892091552
09-08-2019,105.39,105.53,102.96,103.57,200936269,929193681
08-08-2019,107.62,107.85,103.77,105.33,211407418,944886676
07-08-2019,106.94,110.06,106.33,107.68,187404291,965726788
06-08-2019,111.81,112.35,104.28,106.91,171131524,958653277
05-08-2019,107.23,113.59,107.14,111.21,170830744,997065751
04-08-2019,107.43,108.3,104.35,107.2,150889264,960930852
03-08-2019,105.53,109.03,105.52,107.36,145024306,962104024
