Date,Open,High,Low,Close,Volume,Market Cap
28-09-2019,0.244023,0.245047,0.240754,0.242571,978211509,10449975028
27-09-2019,0.243712,0.246306,0.236745,0.244021,1277746422,10512410924
26-09-2019,0.246448,0.250457,0.234037,0.243784,1387714462,10502200054
25-09-2019,0.235483,0.248962,0.234906,0.246441,1800796894,10616698451
24-09-2019,0.268686,0.272868,0.227052,0.235226,2114210733,10133548682
23-09-2019,0.278602,0.286114,0.268575,0.268675,1484938724,11574524621
22-09-2019,0.28946,0.289673,0.274316,0.278931,1242282758,12009356968
21-09-2019,0.294456,0.297573,0.287775,0.289443,1266771269,12461952068
20-09-2019,0.302455,0.302455,0.288729,0.29447,1558069366,12678417604
19-09-2019,0.31374,0.313814,0.287051,0.302441,2314376584,13021616393
18-09-2019,0.284163,0.322034,0.283921,0.313776,2548478917,13509644789
17-09-2019,0.260862,0.294556,0.260308,0.285013,1981364786,12262515974
16-09-2019,0.261574,0.263923,0.259181,0.260952,878264190,11227300186
15-09-2019,0.26117,0.264858,0.259714,0.261628,859761210,11256389684
14-09-2019,0.255485,0.264492,0.254848,0.261167,1005057194,11236551220
13-09-2019,0.254795,0.256326,0.253137,0.255551,869481607,10994948160
12-09-2019,0.255973,0.257015,0.252555,0.254811,974717877,10963094269
11-09-2019,0.258692,0.259832,0.253401,0.255956,992565704,11012382024
10-09-2019,0.25969,0.263649,0.256105,0.258671,975503111,11129180970
09-09-2019,0.263247,0.263694,0.257643,0.259562,1157441363,11157198091
08-09-2019,0.260777,0.264973,0.25927,0.263084,1043077809,11308589245
07-09-2019,0.252411,0.262488,0.251273,0.260687,962765309,11205531353
06-09-2019,0.256269,0.259332,0.250805,0.25234,1063044201,10846757543
05-09-2019,0.259912,0.260707,0.25496,0.256346,1050490375,11018940997
04-09-2019,0.263185,0.263185,0.258212,0.259905,1068332805,11171918974
03-09-2019,0.260838,0.265279,0.258163,0.263139,1162545093,11310944375
02-09-2019,0.258064,0.262465,0.254383,0.26082,1044772829,11211279067
01-09-2019,0.259171,0.259659,0.254306,0.258054,825579908,11092364972
31-08-2019,0.256195,0.260507,0.255454,0.259204,845142390,11141812866
30-08-2019,0.256951,0.257325,0.252734,0.256218,997071647,11013445816
29-08-2019,0.257461,0.261091,0.249951,0.257045,1279995807,11035685652
28-08-2019,0.269583,0.270293,0.252948,0.25745,1275267910,11053053032
27-08-2019,0.270899,0.271042,0.266216,0.269618,1028940804,11575485111
26-08-2019,0.269946,0.277432,0.268575,0.270788,1332395984,11625706519
25-08-2019,0.272612,0.274924,0.267954,0.270088,964693737,11589356109
24-08-2019,0.276543,0.276543,0.267527,0.272553,934380519,11695124196
23-08-2019,0.270575,0.277568,0.26856,0.276545,999419343,11866405277
22-08-2019,0.265802,0.273342,0.261967,0.270944,1065712731,11620983953
21-08-2019,0.275765,0.275765,0.260688,0.266261,1164536124,11420125836
20-08-2019,0.283159,0.283241,0.273442,0.275806,1056822925,11829516782
19-08-2019,0.28229,0.289091,0.278425,0.283328,1241578947,12152144825
18-08-2019,0.265714,0.288718,0.263579,0.282646,1216547019,12122901988
17-08-2019,0.261885,0.268046,0.259252,0.265721,1004931822,11396948393
16-08-2019,0.265075,0.265452,0.256977,0.261971,1133224404,11236137963
15-08-2019,0.263707,0.268241,0.256112,0.264882,1342788578,11360984400
14-08-2019,0.296719,0.29722,0.25239,0.263343,1794754610,11294964982
13-08-2019,0.300661,0.301178,0.293562,0.296639,853175560,12723035972
12-08-2019,0.302169,0.303528,0.298506,0.300322,762308356,12881006909
11-08-2019,0.298566,0.306181,0.296911,0.301915,838671654,12943909474
10-08-2019,0.297245,0.304747,0.293443,0.298721,1077459339,12806941381
09-08-2019,0.307567,0.308218,0.293271,0.297343,1021136188,12747895720
08-08-2019,0.311785,0.312618,0.305112,0.307661,907305889,13190251227
07-08-2019,0.311492,0.315573,0.30872,0.311969,967534123,13374954845
06-08-2019,0.324018,0.324946,0.308895,0.311326,1069603911,13347360882
05-08-2019,0.319723,0.331414,0.31941,0.323564,1203381139,13872050658
04-08-2019,0.316862,0.322925,0.312325,0.319842,926896287,13712472285
03-08-2019,0.312506,0.319651,0.311696,0.316757,789419360,13580218029
