Date,Open,High,Low,Close,Volume,Market Cap
28-09-2019,0.85418,0.867912,0.843578,0.850945,11106574,85094460
27-09-2019,0.832644,0.857013,0.816849,0.854341,12545777,85434091
26-09-2019,0.863165,0.912489,0.790631,0.832843,13631359,83284287
25-09-2019,0.840007,0.891468,0.814208,0.863419,16286981,86341888
24-09-2019,1.01,1.04,0.829688,0.839817,17960342,83981662
23-09-2019,1.1,1.21,1.0,1.01,34054992,100584594
22-09-2019,1.02,1.1,0.981833,1.1,19140154,109778859
21-09-2019,1.05,1.06,1.02,1.03,11528970,102917016
20-09-2019,1.08,1.08,1.03,1.05,12283672,104868186
19-09-2019,1.15,1.15,1.06,1.08,13079460,107719334
18-09-2019,1.1,1.19,1.1,1.15,15833801,115123130
17-09-2019,1.06,1.11,1.05,1.1,11922865,110396063
16-09-2019,1.08,1.1,1.04,1.06,10858084,105986395
15-09-2019,1.03,1.09,1.03,1.08,8370749,107673104
14-09-2019,1.04,1.04,1.01,1.03,7568569,102947848
13-09-2019,1.03,1.05,1.01,1.04,8362414,103712777
12-09-2019,1.03,1.05,1.02,1.03,12401277,103252358
11-09-2019,1.04,1.05,1.02,1.03,8088625,102976965
10-09-2019,1.07,1.09,1.03,1.04,8783495,104303201
09-09-2019,1.07,1.12,1.04,1.07,10428764,107132080
08-09-2019,1.08,1.09,1.06,1.07,6959643,106513635
07-09-2019,1.05,1.09,1.05,1.08,8060628,107796494
06-09-2019,1.12,1.13,1.05,1.05,8452165,104881013
05-09-2019,1.13,1.15,1.1,1.12,9999465,112002903
04-09-2019,1.15,1.16,1.11,1.13,9476856,113087466
03-09-2019,1.15,1.17,1.13,1.15,11907801,115202292
02-09-2019,1.12,1.16,1.1,1.15,9763244,115401844
01-09-2019,1.11,1.12,1.08,1.12,7635752,111861896
31-08-2019,1.12,1.14,1.08,1.11,8863325,110914531
30-08-2019,1.12,1.14,1.11,1.12,7948837,111875703
29-08-2019,1.17,1.17,1.11,1.12,10345706,112378503
28-08-2019,1.24,1.25,1.15,1.17,12062381,117194482
27-08-2019,1.26,1.28,1.22,1.24,9559723,123814602
26-08-2019,1.26,1.32,1.26,1.26,11566041,126375726
25-08-2019,1.3,1.33,1.25,1.26,13107548,125787566
24-08-2019,1.3,1.36,1.27,1.3,17267252,130480406
23-08-2019,1.28,1.34,1.25,1.31,16791817,130502742
22-08-2019,1.22,1.31,1.17,1.29,19033013,128551063
21-08-2019,1.24,1.24,1.18,1.22,14746403,121732561
20-08-2019,1.27,1.28,1.24,1.24,12883194,124221654
19-08-2019,1.26,1.28,1.24,1.27,12458943,126551962
18-08-2019,1.2,1.27,1.2,1.26,10436495,125832463
17-08-2019,1.2,1.23,1.19,1.2,8284859,120265009
16-08-2019,1.21,1.22,1.17,1.2,11939136,120163264
15-08-2019,1.21,1.22,1.15,1.21,12304089,121403947
14-08-2019,1.29,1.3,1.2,1.21,14751718,120554480
13-08-2019,1.31,1.31,1.28,1.29,10086356,128558642
12-08-2019,1.32,1.34,1.29,1.31,11658619,131367378
11-08-2019,1.31,1.36,1.31,1.32,9607872,132156350
10-08-2019,1.28,1.32,1.28,1.31,8257821,130961581
09-08-2019,1.33,1.34,1.28,1.29,11349078,128512168
08-08-2019,1.36,1.38,1.31,1.33,12729793,133463610
07-08-2019,1.35,1.37,1.32,1.36,13115569,135840696
06-08-2019,1.42,1.43,1.34,1.35,14144120,135357831
05-08-2019,1.37,1.44,1.36,1.42,16189072,141678133
04-08-2019,1.37,1.38,1.33,1.37,9668053,136556771
03-08-2019,1.35,1.39,1.35,1.37,7847440,136965234
02-08-2019,1.37,1.38,1.35,1.35,9994829,135449260
01-08-2019,1.38,1.39,1.35,1.37,7716451,136737196
31-07-2019,1.37,1.41,1.37,1.38,7985384,137863402
30-07-2019,1.38,1.38,1.36,1.37,7983911,136981797
29-07-2019,1.36,1.44,1.35,1.38,10945216,138103614
28-07-2019,1.35,1.36,1.31,1.36,5733092,135729877
27-07-2019,1.43,1.45,1.34,1.36,7424273,135572936
26-07-2019,1.41,1.43,1.38,1.43,8792915,142850916
25-07-2019,1.38,1.42,1.37,1.41,9175761,140854314
24-07-2019,1.37,1.39,1.31,1.38,11753142,137831148
23-07-2019,1.43,1.44,1.33,1.37,13403405,137153465
22-07-2019,1.46,1.47,1.41,1.43,18148075,143160432
21-07-2019,1.5,1.5,1.43,1.46,18296283,146278477
20-07-2019,1.47,1.54,1.45,1.5,22435840,149671834
19-07-2019,1.5,1.5,1.43,1.46,21630785,146350693
18-07-2019,1.4,1.53,1.38,1.5,30715078,149937681
17-07-2019,1.45,1.46,1.35,1.4,24494325,140277443
16-07-2019,1.51,1.64,1.45,1.45,40938980,145489507
15-07-2019,1.48,1.57,1.38,1.51,31012067,150580786
14-07-2019,1.55,1.71,1.47,1.48,17227037,147824118
13-07-2019,1.63,1.65,1.51,1.55,10607923,155011336
12-07-2019,1.5,1.75,1.48,1.63,18634482,163394592
11-07-2019,1.72,1.72,1.49,1.5,15292150,149550172
10-07-2019,1.83,1.85,1.68,1.72,20377855,172451662
09-07-2019,1.9,1.9,1.81,1.83,23236019,183440179
08-07-2019,2.06,2.06,1.88,1.9,39227875,189646091
07-07-2019,1.94,2.27,1.92,2.05,60353119,205369922
06-07-2019,1.78,2.18,1.78,1.93,43768600,192739147
05-07-2019,1.83,1.85,1.77,1.78,11898380,178411391
04-07-2019,1.95,1.95,1.82,1.83,12712656,182663535
03-07-2019,1.83,1.95,1.81,1.95,17588285,195087896
02-07-2019,1.88,1.91,1.72,1.83,17893708,182870093
01-07-2019,1.83,1.95,1.8,1.88,16147074,188126277
30-06-2019,1.97,1.98,1.83,1.83,14711886,182663477
29-06-2019,2.01,2.01,1.87,1.97,16047933,197042854
28-06-2019,1.84,2.01,1.83,2.01,18953618,201171608
27-06-2019,2.17,2.18,1.83,1.84,26432081,184053512
26-06-2019,2.31,2.36,2.12,2.17,37124616,216851881
25-06-2019,2.36,2.39,2.28,2.31,21157612,231284066
24-06-2019,2.35,2.4,2.31,2.36,15915957,235749010
23-06-2019,2.4,2.44,2.34,2.35,17636064,235152735
22-06-2019,2.35,2.5,2.31,2.4,25640261,240293635
21-06-2019,2.37,2.43,2.33,2.35,19983384,234561902
20-06-2019,2.43,2.44,2.33,2.37,17320676,236835855
19-06-2019,2.39,2.43,2.37,2.43,14486750,242944647
18-06-2019,2.44,2.45,2.36,2.39,26901981,238649823
17-06-2019,2.43,2.51,2.42,2.45,33471374,244585619
16-06-2019,2.42,2.56,2.35,2.43,50641982,243177034
15-06-2019,2.39,2.43,2.36,2.42,38561699,242164224
14-06-2019,2.48,2.5,2.28,2.39,40607201,238663492
13-06-2019,2.44,2.51,2.43,2.48,35774553,248101888
12-06-2019,2.38,2.46,2.36,2.44,33721954,244313293
11-06-2019,2.38,2.41,2.34,2.38,36423226,238098063
10-06-2019,2.29,2.38,2.26,2.38,30703948,237721304
09-06-2019,2.39,2.43,2.27,2.29,29687581,229412191
08-06-2019,2.38,2.42,2.34,2.39,24967525,238547056
07-06-2019,2.31,2.42,2.3,2.38,35325852,237698362
06-06-2019,2.31,2.36,2.23,2.32,29921420,231545834
05-06-2019,2.31,2.37,2.28,2.31,31684383,231073080
04-06-2019,2.43,2.43,2.25,2.31,47248608,230566170
03-06-2019,2.66,2.66,2.43,2.43,43083519,243396717
02-06-2019,2.61,2.68,2.59,2.65,40785298,265441722
01-06-2019,2.64,2.67,2.59,2.61,31936202,261090051
31-05-2019,2.55,2.64,2.51,2.64,40779973,264136055
30-05-2019,2.69,2.74,2.5,2.55,52731318,254644788
29-05-2019,2.75,2.76,2.66,2.69,37771171,268665258
28-05-2019,2.73,2.86,2.71,2.75,39324078,274907044
27-05-2019,2.72,2.77,2.69,2.73,39684615,273190023
